episode,steps,total_episode_reward
0,1460,-8917.3643
1,2920,-6986.8413
2,4380,-6815.6987
3,5840,-7031.2100
4,7300,-7006.5928
5,8760,-6962.3643
6,10220,-6991.8794
7,11680,-6857.0483
8,13140,-6979.2578
9,14600,-6775.0342
10,16060,-6882.7100
11,17520,-6811.2188
12,18980,-6949.9722
13,20440,-6816.2959
14,21900,-6880.9526
15,23360,-6986.5010
16,24820,-6895.7583
17,26280,-6834.9722
18,27740,-6871.5645
19,29200,-6900.0054
20,30660,-6908.5522
21,32120,-6931.0586
22,33580,-6836.7773
23,35040,-6887.5264
24,36500,-6929.0405
25,37960,-6971.5840
26,39420,-6834.0869
27,40880,-6920.7529
28,42340,-6870.9146
29,43800,-6832.1753
30,45260,-6813.2217
31,46720,-6794.5913
32,48180,-6947.0103
33,49640,-6893.9761
34,51100,-6851.0229
35,52560,-6887.9946
36,54020,-6928.1782
37,55480,-7003.2495
38,56940,-6971.0747
39,58400,-6824.9473
40,59860,-7025.1948
41,61320,-6818.1167
42,62780,-6991.8936
43,64240,-6808.6621
44,65700,-6875.9829
45,67160,-6767.2007
46,68620,-6861.9448
47,70080,-6746.5498
48,71540,-6897.2969
49,73000,-6843.2515
50,74460,-6843.1055
51,75920,-6815.7437
52,77380,-6835.8247
53,78840,-6828.0215
54,80300,-6800.1475
55,81760,-6863.2803
56,83220,-6732.1460
57,84680,-6822.7134
58,86140,-6717.1904
59,87600,-6923.8418
60,89060,-6831.9526
61,90520,-6844.3643
62,91980,-6788.3237
63,93440,-6747.1235
64,94900,-6794.3394
65,96360,-6815.2827
66,97820,-6731.0049
67,99280,-6823.3027
68,100740,-6820.4551
69,102200,-6792.8745
70,103660,-6892.2251
71,105120,-6759.1396
72,106580,-6781.6226
73,108040,-6631.8843
74,109500,-6682.0586
75,110960,-6766.0410
76,112420,-6697.8037
77,113880,-6699.4443
78,115340,-6753.8911
79,116800,-6737.5747
80,118260,-6895.8848
81,119720,-6818.7881
82,121180,-6730.5112
83,122640,-6662.7705
84,124100,-6763.3638
85,125560,-6813.0811
86,127020,-6714.7764
87,128480,-6617.8838
88,129940,-6731.4170
89,131400,-6722.0596
90,132860,-6758.8203
91,134320,-6916.7207
92,135780,-6745.7842
93,137240,-6588.5981
94,138700,-6731.4321
95,140160,-6736.4570
96,141620,-6757.4390
97,143080,-6603.8013
98,144540,-6754.6567
99,146000,-6683.7119
100,147460,-6813.8340
101,148920,-6742.9399
102,150380,-6597.7407
103,151840,-6708.9517
104,153300,-6700.6260
105,154760,-6663.2949
106,156220,-6630.6421
107,157680,-6565.7725
108,159140,-6630.6006
109,160600,-6724.3306
110,162060,-6583.2441
111,163520,-6629.0869
112,164980,-6642.3950
113,166440,-6547.9570
114,167900,-6665.1265
115,169360,-6656.1465
116,170820,-6722.6343
117,172280,-6534.1201
118,173740,-6638.1050
119,175200,-6578.2490
120,176660,-6726.5825
121,178120,-6733.5469
122,179580,-6788.4312
123,181040,-6680.1636
124,182500,-6783.2305
125,183960,-6647.7061
126,185420,-6667.8472
127,186880,-6593.8223
128,188340,-6687.4722
129,189800,-6668.3120
130,191260,-6637.3672
131,192720,-6660.2837
132,194180,-6706.3853
133,195640,-6614.9673
134,197100,-6554.2041
135,198560,-6528.3340
136,200020,-6555.6514
137,201480,-6543.8755
138,202940,-6619.3203
139,204400,-6563.3438
140,205860,-6566.6338
141,207320,-6510.7397
142,208780,-6612.4238
143,210240,-6479.6626
144,211700,-6563.0869
145,213160,-6477.7305
146,214620,-6530.4600
147,216080,-6514.6240
148,217540,-6563.7437
149,219000,-6546.0903
150,220460,-6517.6177
151,221920,-6405.3018
152,223380,-6529.5771
153,224840,-6408.4307
154,226300,-6471.3301
155,227760,-6534.0718
156,229220,-6513.0396
157,230680,-6533.9966
158,232140,-6489.2993
159,233600,-6406.3501
160,235060,-6453.5371
161,236520,-6424.2148
162,237980,-6438.1025
163,239440,-6475.1738
164,240900,-6520.8472
165,242360,-6291.2036
166,243820,-6409.0781
167,245280,-6484.8379
168,246740,-6554.8330
169,248200,-6367.9756
170,249660,-6399.9224
171,251120,-6386.4692
172,252580,-6380.5278
173,254040,-6431.2769
174,255500,-6339.0239
175,256960,-6447.4541
176,258420,-6481.8628
177,259880,-6388.1958
178,261340,-6336.2964
179,262800,-6388.1934
180,264260,-6501.2744
181,265720,-6518.7075
182,267180,-6370.5796
183,268640,-6501.6089
184,270100,-6395.0215
185,271560,-6360.2773
186,273020,-6528.1431
187,274480,-6296.2671
188,275940,-6418.2749
189,277400,-6447.0552
190,278860,-6366.7676
191,280320,-6320.6821
192,281780,-6353.9321
193,283240,-6451.5527
194,284700,-6376.3882
195,286160,-6403.1807
196,287620,-6379.5791
197,289080,-6307.3530
198,290540,-6329.0762
199,292000,-6223.0913
200,293460,-6291.9629
201,294920,-6262.8086
202,296380,-6238.0156
203,297840,-6264.4878
204,299300,-6246.8315
205,300760,-6122.7847
206,302220,-6184.9941
207,303680,-6366.3228
208,305140,-6258.0039
209,306600,-6208.5181
210,308060,-6285.9341
211,309520,-6209.3667
212,310980,-6376.1143
213,312440,-6257.7944
214,313900,-6312.8906
215,315360,-6285.1167
216,316820,-6187.7539
217,318280,-6166.0405
218,319740,-6222.2852
219,321200,-6294.5122
220,322660,-6165.4766
221,324120,-6191.2451
222,325580,-6220.5850
