episode,steps,total_episode_reward
0,1460,-8917.3643
1,2920,-6966.8140
2,4380,-6795.3643
3,5840,-7007.4688
4,7300,-6985.3013
5,8760,-6937.3364
6,10220,-6965.9585
7,11680,-6833.5874
8,13140,-6956.1533
9,14600,-6752.0049
10,16060,-6870.3564
11,17520,-6802.8291
12,18980,-6939.8359
13,20440,-6810.0771
14,21900,-6881.7373
15,23360,-6991.0332
16,24820,-6899.8169
17,26280,-6848.6519
18,27740,-6881.8662
19,29200,-6910.4551
20,30660,-6918.4751
21,32120,-6943.3613
22,33580,-6854.4062
23,35040,-6882.0244
24,36500,-6931.1909
25,37960,-6975.2412
26,39420,-6837.6489
27,40880,-6924.4565
28,42340,-6885.3281
29,43800,-6839.5669
30,45260,-6829.3857
31,46720,-6817.4854
32,48180,-6976.2632
33,49640,-6932.1323
34,51100,-6894.7651
35,52560,-6930.9438
36,54020,-6964.6406
37,55480,-7027.2998
38,56940,-6989.0610
39,58400,-6838.6958
40,59860,-7033.0635
41,61320,-6821.6152
42,62780,-6991.6240
43,64240,-6813.8457
44,65700,-6883.7817
45,67160,-6769.2510
46,68620,-6861.1982
47,70080,-6746.4741
48,71540,-6899.6870
49,73000,-6853.6274
50,74460,-6855.8682
51,75920,-6834.3882
52,77380,-6851.9897
53,78840,-6855.1816
54,80300,-6828.2285
55,81760,-6899.9238
56,83220,-6761.4429
57,84680,-6844.8936
58,86140,-6742.4131
59,87600,-6936.7363
60,89060,-6834.2544
61,90520,-6850.3311
62,91980,-6797.2012
63,93440,-6765.8872
64,94900,-6817.1992
65,96360,-6844.5576
66,97820,-6763.0645
67,99280,-6858.6543
68,100740,-6849.9922
69,102200,-6827.4692
70,103660,-6935.3462
71,105120,-6797.8691
72,106580,-6824.9131
73,108040,-6689.4912
74,109500,-6740.2935
75,110960,-6808.7031
76,112420,-6741.2559
77,113880,-6723.8560
78,115340,-6777.8218
79,116800,-6769.7012
80,118260,-6935.9590
81,119720,-6862.5029
82,121180,-6773.0439
83,122640,-6713.3066
84,124100,-6811.4180
85,125560,-6855.9839
86,127020,-6776.1284
87,128480,-6677.0566
88,129940,-6799.3130
89,131400,-6788.1294
90,132860,-6817.0283
91,134320,-6970.4678
92,135780,-6801.8247
93,137240,-6640.0312
94,138700,-6786.1768
95,140160,-6796.3857
96,141620,-6804.9268
97,143080,-6658.3188
98,144540,-6806.7495
99,146000,-6730.6392
100,147460,-6863.5205
101,148920,-6790.4663
102,150380,-6664.1655
103,151840,-6782.9785
104,153300,-6782.0356
105,154760,-6750.3174
106,156220,-6719.6274
107,157680,-6661.9829
108,159140,-6720.2319
109,160600,-6827.2949
110,162060,-6689.4360
111,163520,-6736.3208
112,164980,-6743.7290
113,166440,-6660.2329
114,167900,-6769.0488
115,169360,-6762.8276
116,170820,-6826.7388
117,172280,-6657.8052
118,173740,-6761.3911
119,175200,-6697.3398
120,176660,-6850.9312
121,178120,-6845.8457
122,179580,-6898.7920
123,181040,-6788.1958
124,182500,-6890.5298
125,183960,-6766.7705
126,185420,-6800.4180
127,186880,-6735.5454
128,188340,-6817.1055
129,189800,-6816.3984
130,191260,-6794.3135
131,192720,-6807.4561
132,194180,-6851.8003
133,195640,-6755.7759
134,197100,-6715.9062
135,198560,-6693.6694
136,200020,-6713.7666
137,201480,-6696.4399
138,202940,-6772.3643
139,204400,-6713.4868
140,205860,-6726.7119
141,207320,-6672.2314
142,208780,-6767.0190
143,210240,-6648.9189
144,211700,-6746.1099
145,213160,-6663.3052
146,214620,-6720.1719
147,216080,-6703.8521
148,217540,-6755.4819
149,219000,-6744.1538
150,220460,-6709.4092
151,221920,-6598.8228
152,223380,-6715.0415
153,224840,-6612.1685
154,226300,-6677.3984
155,227760,-6735.0181
156,229220,-6716.2812
157,230680,-6732.7251
158,232140,-6681.8428
159,233600,-6602.1768
160,235060,-6663.0596
161,236520,-6636.1670
162,237980,-6647.7344
163,239440,-6690.3281
164,240900,-6732.6611
165,242360,-6506.7637
166,243820,-6613.9731
167,245280,-6696.4399
168,246740,-6780.3735
169,248200,-6581.2021
170,249660,-6625.1396
171,251120,-6624.2197
172,252580,-6614.2378
173,254040,-6663.4136
174,255500,-6570.1069
175,256960,-6688.7754
176,258420,-6735.3140
177,259880,-6629.3530
178,261340,-6578.0640
179,262800,-6632.7988
180,264260,-6740.2188
181,265720,-6755.0864
182,267180,-6616.3574
183,268640,-6744.3579
184,270100,-6643.8721
185,271560,-6619.7993
186,273020,-6787.3633
187,274480,-6568.6157
188,275940,-6692.0659
189,277400,-6729.3667
190,278860,-6653.7310
191,280320,-6604.7661
192,281780,-6641.8037
193,283240,-6748.0239
194,284700,-6662.0225
195,286160,-6698.0630
196,287620,-6685.9478
197,289080,-6617.9561
198,290540,-6651.7627
199,292000,-6555.8120
200,293460,-6614.5005
201,294920,-6586.3911
202,296380,-6562.9419
203,297840,-6592.8003
204,299300,-6574.2573
205,300760,-6456.6206
206,302220,-6516.6855
207,303680,-6697.5933
208,305140,-6602.4980
209,306600,-6556.0146
210,308060,-6615.4692
211,309520,-6533.5347
212,310980,-6696.3936
213,312440,-6571.1802
214,313900,-6621.5820
215,315360,-6603.7583
216,316820,-6522.8320
217,318280,-6506.9302
218,319740,-6555.2651
219,321200,-6623.3276
220,322660,-6503.1211
221,324120,-6536.9912
222,325580,-6567.1133
223,327040,-6537.9580
224,328500,-6458.8501
225,329960,-6622.3257
226,331420,-6476.5996
227,332880,-6630.8940
228,334340,-6499.7646
229,335800,-6559.3120
230,337260,-6523.6533
231,338720,-6532.8096
232,340180,-6591.2734
233,341640,-6504.9492
234,343100,-6450.9893
235,344560,-6612.5483
236,346020,-6492.2588
237,347480,-6491.0151
238,348940,-6564.7974
239,350400,-6479.2007
240,351860,-6528.8696
241,353320,-6370.8379
242,354780,-6500.2700
243,356240,-6552.4409
244,357700,-6377.3276
245,359160,-6438.2734
246,360620,-6468.4873
247,362080,-6410.4087
248,363540,-6502.6641
249,365000,-6470.4766
250,366460,-6458.2539
251,367920,-6364.8115
252,369380,-6502.5029
253,370840,-6536.0498
254,372300,-6453.5757
255,373760,-6509.2412
256,375220,-6504.4722
257,376680,-6428.6455
258,378140,-6417.3604
259,379600,-6479.2876
260,381060,-6433.1689
261,382520,-6337.8701
262,383980,-6440.8911
263,385440,-6454.1992
264,386900,-6336.9121
265,388360,-6421.7729
266,389820,-6359.4287
267,391280,-6492.1240
268,392740,-6350.9858
269,394200,-6413.6328
270,395660,-6392.6436
271,397120,-6295.0811
272,398580,-6293.0239
273,400040,-6384.4971
274,401500,-6305.1353
275,402960,-6336.0854
276,404420,-6299.0835
277,405880,-6198.7168
278,407340,-6211.8926
279,408800,-6215.8506
280,410260,-6228.0947
281,411720,-6365.2397
282,413180,-6191.3965
283,414640,-6220.6880
284,416100,-6196.2754
285,417560,-6312.6421
286,419020,-6269.4790
287,420480,-6183.4023
288,421940,-6304.4111
289,423400,-6320.8560
290,424860,-6266.3374
291,426320,-6342.0688
292,427780,-6286.7700
293,429240,-6244.7720
294,430700,-6308.9897
295,432160,-6168.9946
296,433620,-6210.6377
297,435080,-6185.4165
298,436540,-6348.7227
299,438000,-6270.3613
300,439460,-6220.0801
301,440920,-6203.0034
302,442380,-6212.9795
303,443840,-6187.1289
304,445300,-6247.6865
305,446760,-6260.8584
306,448220,-6222.5557
307,449680,-6333.7485
308,451140,-6176.5874
309,452600,-6104.9111
310,454060,-6116.1226
311,455520,-6179.0356
312,456980,-6314.5264
313,458440,-6068.1558
314,459900,-6133.9336
315,461360,-6192.8657
316,462820,-6214.7197
317,464280,-6237.9346
318,465740,-6233.5884
319,467200,-6230.2661
320,468660,-6129.0801
321,470120,-6127.4888
322,471580,-6030.6792
323,473040,-6045.4912
324,474500,-6089.5142
325,475960,-6104.9609
326,477420,-6072.6680
327,478880,-6145.0986
328,480340,-6081.7017
329,481800,-6112.3564
330,483260,-6128.1030
331,484720,-6041.0430
332,486180,-6113.2480
333,487640,-6206.5938
334,489100,-6075.6333
335,490560,-6096.8408
336,492020,-6071.9604
337,493480,-6062.7388
338,494940,-6097.1436
339,496400,-5997.2734
340,497860,-6063.5098
341,499320,-5971.9438
342,500780,-5939.4941
343,502240,-6036.9351
344,503700,-6011.4438
345,505160,-6008.6431
346,506620,-6002.5137
347,508080,-6000.3315
348,509540,-5980.5684
349,511000,-6009.7773
350,512460,-6064.6123
351,513920,-5941.8091
352,515380,-6004.8481
353,516840,-5966.2622
354,518300,-6122.4028
355,519760,-6012.0605
356,521220,-6084.9663
357,522680,-6001.4458
358,524140,-5951.5620
359,525600,-5972.4966
360,527060,-6079.8848
361,528520,-5902.3994
362,529980,-6020.0078
363,531440,-6068.3022
364,532900,-5922.3965
365,534360,-5861.4883
366,535820,-5969.3989
367,537280,-5844.1353
368,538740,-5897.9731
369,540200,-5975.6411
370,541660,-5976.0615
371,543120,-6061.9907
372,544580,-6028.2158
373,546040,-5774.4131
374,547500,-5973.6719
375,548960,-5981.6289
376,550420,-5913.3501
377,551880,-5962.8677
378,553340,-6032.2368
379,554800,-6007.9941
380,556260,-5833.9658
381,557720,-5852.8760
382,559180,-5947.8457
383,560640,-5772.6006
